capture.id,animal.id,capture.season.2,bolus,herd,age.month,condition,pregnant,milk,calf.at.heel,tb.status,age.horn.residual,BHV.exposure,PI3.exposure,AD3.exposure,BRSV.Exposure,MH.exposure,MB.exposure
R42b-0311,R42b,wet,bolus,Crocodile Bridge,66,3.25,late,no,no,1,66.79,0,0,0,0,0,0
R45c-0311,R45c,wet,bolus,Crocodile Bridge,76,3.25,no,no,no,0,59.9248,0,0,0,0,1,0
R40-0411,R40,dry,control,Crocodile Bridge,59,3.75,late,no,no,0,62.49925,0,0,1,0,0,0
R10-0411,R10,dry,bolus,Crocodile Bridge,76,3.5,no,no,no,0,59.06665,0,0,0,0,1,1
R21c-0411,R21c,dry,control,Crocodile Bridge,66,3.25,early,no,no,1,61.6411,0,0,0,0,0,0
R47-0411,R47,dry,bolus,Crocodile Bridge,61,3.5,no,no,no,0,73.6552,1,0,0,0,0,0
W4-0411,W4,dry,bolus,Crocodile Bridge,85,3.5,late,no,no,1,87.3856,0,0,0,0,0,0
Y11-0411,Y11,dry,bolus,Crocodile Bridge,76,2.5,no,yes,yes,0,66.79,0,0,0,0,1,0
Y42-0411,Y42,dry,control,Crocodile Bridge,103,3.25,early,no,no,1,67.64815,0,0,1,0,0,0
Y21b-0411,Y21b,dry,control,Crocodile Bridge,67,2.5,early,no,no,1,64.21555,0,0,0,0,0,0
Y7b-0411,Y7b,dry,control,Crocodile Bridge,66,3.5,no,no,no,0,59.9248,0,0,1,0,0,0
R8b-0411,R8b,dry,control,Crocodile Bridge,77,3,no,yes,yes,1,66.79,0,0,0,0,0,0
Y14-0511,Y14,dry,bolus,Crocodile Bridge,77,2.75,early,yes,yes,1,71.08075,0,0,0,0,0,1
R36-0511,R36,dry,bolus,Crocodile Bridge,128,2.25,no,yes,yes,0,72.79705,0,0,0,0,0,0
Y20b-0511,Y20b,dry,bolus,Crocodile Bridge,65,3,no,no,no,0,57.35035,1,0,0,0,0,0
R19-0511,R19,dry,control,Crocodile Bridge,67,2.75,no,yes,yes,0,73.6552,0,0,0,0,1,0
R20-0511,R20,dry,control,Crocodile Bridge,79,2.5,no,yes,yes,1,51.3433,0,0,0,0,0,0
R52-0511,R52,dry,control,Crocodile Bridge,164,2.25,no,no,no,0,96.82525,0,1,1,0,0,0
Y13-0511,Y13,dry,control,Crocodile Bridge,63,3.5,no,yes,yes,0,67.64815,0,0,0,0,0,0
Y28-0511,Y28,dry,bolus,Crocodile Bridge,73,3,no,yes,yes,0,68.5063,0,0,0,0,0,0
Y29-0511,Y29,dry,bolus,Crocodile Bridge,95,3,no,yes,yes,1,52.20145,0,0,0,0,0,0
