Co-autor,Sample Unit,long,lat,Original Spot,Acestrorhynchus lacustris,Ancistrus aguaboensis,Apareiodon affinis,Apareiodon ibitiensis,Apareiodon machrisi,Apareiodon vladii,Aspidoras eurycephalus,Aspidoras fuscoguttatus,Astyanax  altiparanae,Astyanax asuncionensis,Astyanax bimaculatus,Astyanax bockmani,Astyanax eigenmanniorum,Astyanax fasciatus,Astyanax lineatus,Astyanax paranae,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis,Astyanax scabripinnis ,Brycon orbignyanus,Bryconamericus turiuba,Bryconammericus stramineus,Cetopsorhamdia iheringi,Characidium fasciatum,Characidium gomesi,Characidium zebra,Characidium zebra,Cichla kelberi,Cichlasoma dimerus,Cichlasoma paranaense,Corydoras aeneus,Corydoras flaveolus,Creagrutus varii,Crenicichla britskii,Crenicichla niederleinii,Cyphocharax gilbert,Cyphocharax modestus,Eigenmannia trilineata,Eigenmannia virescens ,Gymnotus carapo,Gymnotus sylvius,Harttia punctata,Hasemania crenuchoides,Hasemania hanseni ,Hemigrammus marginatus,Heptapterus mustelinus,Hisonotus francirochai,Hisonotus insperatus,Hyphessobrycon coelestinus,Hyphessobrycon herbertaxelrodi ,Hyphessobrycon luetkenii,Hypostomus  plecostumus,Hypostomus  regani,Hypostomus ancistroides,Hypostomus boulengeri,Hypostomus nigromaculatus,Imparfinis borodini,Imparfinis longicauda,Imparfinis minutus,Imparfinis mirini,Imparfinis schubarti,Knodus chapadae,Knodus moenkhausii,Leporinus microphthalmus,Leporinus paranensis,Microglanis garavelloi,Moenkhausia sanctaefilomenae,Neoplecostomus paranensis,Oligosarcus pintoi,Paravandellia oxyptera,Parodon nasus,Phalloceros harpagos,Phenacorhamdia somnians,Phenacorhamdia tenebrosa,Piabina argentea,Pimelodella avanhandavae,Planaltina myersi,Poecilia reticulata,Prochilodus  lineatus,Pyrrhulina australis,Rineloricaria latirostris,Rivulus pictus,Serrapinnus heterodon,Serrapinnus notomelas,Steindachnerina insculpta,Sternopygus macrurus,Synbranchus marmoratus,Tatia neivar,Tilapia rendalli,Trichomycterus aff. brasiliensis,Trichomycterus candidus,MTurb,MCondut,MPh,MOD,MTempAgua,Mvel,Mprof,Mlar
Francisco Leonardo Tejerina Garro,ua25,-48.928611,-17.245278,P25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18666667,126.9,6.216666667,8,21.4,112,0.483333333,1.066666667
Francisco Leonardo Tejerina Garro,ua26,-49.060000,-17.201111,P26,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,52.36666667,7.216666667,6.2,23.23333333,101.3636364,0.449090909,4.163636364
Francisco Leonardo Tejerina Garro,ua27,-48.996389,-17.138611,P27,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6.366666667,97.4,7.346666667,6.2,23.46666667,152.1969697,0.182727273,3.709090909
Francisco Leonardo Tejerina Garro,ua28,,,P28,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23.3,6.936666667,6.3,24.33333333,386.7272727,0.198181818,3.045454545
Francisco Leonardo Tejerina Garro,ua29,,,P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19.53333333,6.603333333,6,23.3,263.7715983,0.371818182,0.954545455
Francisco Leonardo Tejerina Garro,ua30,,,P30,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.53333333,23.7,7.17,9.4,19.13333333,561.9090909,0.204545455,1.118181818
Francisco Leonardo Tejerina Garro,ua31,,,P31,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,79.23333333,18.4,6.113333333,6.8,19.3,139.75,0.15,1.558333333
Lilian Casatti e Renato Romero,ua37,-56.6156,-21.03,PG6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,374,8.11,8.6,21.2,0.41,,3
Lilian Casatti e Renato Romero,ua38,-52.9758,-18.2969,PN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,19,2,8.51,8.1,21,0.16,,1.1
Lilian Casatti e Renato Romero,ua39,-53.0092,-18.1328,PN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,4,7.80,7.5,21.6,0.22,,1.1
