Longitude,Latitude,Sorex_araneus,Sorex_minutus,Crocidura_russula,Crocidura_leucodon,Suncus_etruscus,Sorex_coronatus,Crocidura_suaveolens,Bio01,Bio02,Bio08,Bio15,Bio18,Bio19
13.76977602,53.96098729,1,0,0,0,0,0,0,8.380003731,7.061377105,16.53931176,23.5084231,187.125,113.75
10.56974833,54.0175478,1,1,0,0,0,0,1,8.481545942,7.06675663,13.52648613,16.50970305,206,176.5
12.70406087,53.98910224,1,0,0,0,0,0,0,8.238422314,7.270185539,16.33897346,21.73135595,196.2727272,128.7272727
9.498259901,54.3323627,1,0,0,0,0,0,0,8.380561378,7.11336618,8.595479275,22.06149699,229.7777777,195.6666666
12.72447173,54.30335701,1,0,0,0,0,0,0,8.328672742,6.228954025,16.29051887,20.53532633,198.25,134.5
13.82714558,54.58900557,1,0,0,0,0,0,0,8.135505154,5.548550497,15.60358937,22.33708553,184.5,119
8.398362882,54.9521784,1,1,0,0,0,0,0,8.768844748,5.203598688,10.00852278,31.12560905,194,179
14.42150282,64.66795737,1,0,0,0,0,0,0,0.287482659,7.08026625,3.73062041,23.89298928,232.6666666,241.4444444
14.1234936,46.3858667,1,0,0,0,0,0,0,7.233822918,9.074900451,10.8421065,24.62662345,454.8888888,271.3333333
14.14793706,46.70048903,1,0,0,0,0,0,0,6.479676225,9.340539932,15.31034722,31.83815281,427.75,183.6666666
13.66940857,46.40238696,1,0,0,0,0,0,0,6.270699683,8.785916673,9.167065993,23.6069353,493.75,320.0833333
14.60442699,46.68192009,1,0,0,0,0,0,0,6.418158871,9.11352952,15.24224658,32.56905595,419.9166666,176
13.69117242,46.71712245,1,0,0,0,0,0,0,5.034266926,8.615630163,12.86737497,27.91420531,487.25,237.5625
13.23416297,46.73181858,1,0,0,0,0,0,0,4.14762934,8.288651004,11.53445485,27.08512364,494.8333333,247.4166666
15.06061243,46.6614176,1,0,0,0,0,0,0,7.023026048,8.826244815,15.76463024,35.72178244,423.375,162.375
12.77693878,46.74457585,1,0,0,0,0,0,0,2.030522581,7.301937521,9.871239625,29.80682319,448.25,208.5
