length,gravid,zebra,month,weight
52.5,n,n,e,0.233748117
60.5,n,y,e,-0.105494016
54.5,n,n,e,0.832914749
47.5,n,n,e,0.030604782
55.5,n,n,e,2.428247641
49,n,n,e,-0.422269821
49.5,n,n,e,0.056327774
53.5,n,n,e,-0.699975851
48.5,n,n,e,-0.122770467
45,n,n,e,-0.145762063
49,n,n,e,0.043730179
39.5,n,n,e,0.005165957
41.5,n,n,e,-0.283622155
44.5,n,n,e,-0.233716738
51,n,n,e,0.205487844
41,n,n,e,0.404896096
30,n,n,e,-0.003314559
37.5,n,n,e,-0.043013799
28,n,n,e,0.02809802
31.5,n,n,e,0.081171632
28.5,n,n,e,0.098318555
74.5,n,n,f,0.698401193
72.5,y,n,f,2.724922272
73.5,n,n,f,-0.385409291
73,n,n,f,0.801727804
76,y,n,f,-0.545999526
59,n,n,f,-0.345470077
62.5,n,n,f,0.376458607
76,n,y,f,2.264000474
64,y,n,f,-0.068847086
68.5,n,n,f,-1.349835706
68.5,n,n,f,-0.259835706
77,n,n,f,-0.980599676
87.5,y,n,f,0.05809929
57,n,n,f,-0.087675965
70,n,n,f,1.033519824
77.5,n,n,f,1.812934638
65.5,n,n,f,-0.774106814
63,y,n,f,0.794537638
63,n,n,f,0.596537638
60.5,y,n,f,0.384505984
68.5,n,y,f,0.620164294
60,n,y,f,0.33621707
77,n,n,f,1.491400324
65.5,n,n,f,-0.085106814
59,n,n,f,-0.040470077
64.5,n,y,f,0.342645743
69.5,y,n,f,0.411517191
59,n,n,f,-0.442470077
57,n,n,f,-0.040675965
60.5,n,n,f,0.317505984
68,n,n,f,1.214857622
56.5,n,n,f,1.075850391
74.5,y,n,f,1.080401193
58.5,y,n,f,0.632174967
60.5,y,n,f,-0.333494016
59.5,n,n,f,-0.236448832
56.5,n,n,f,-0.193149609
53,y,n,f,-0.620576449
57.5,y,n,f,-0.187449588
76,n,y,f,0.337000474
54,n,n,f,0.294528392
48.5,n,n,f,-0.303770467
52,n,n,f,-0.091980643
57.5,y,n,f,0.497550412
56,y,n,f,-0.126848934
57.5,y,n,f,1.947550412
47.5,n,n,f,0.095604782
52.5,n,n,f,-0.077251883
48.5,y,y,f,-0.127770467
49.5,n,n,f,0.097327774
46.5,n,n,f,-0.115375209
58.5,n,n,f,-0.359825033
49.5,n,y,f,-0.313672226
38.5,n,n,f,-0.190512711
48,n,y,f,-0.306152737
46,n,n,f,-0.199069947
43.5,n,n,f,-0.069736652
43.5,n,n,f,-0.247736652
40.5,n,n,f,-0.252147288
42,n,y,f,-0.06972329
87.5,y,n,g,-2.15390071
63.5,y,n,g,1.303109641
76.5,n,n,g,-0.5372517
73.5,y,n,g,1.023590709
73,n,n,g,-0.201272196
80,n,n,g,-1.267926812
73,n,n,g,0.831727804
69,n,n,g,1.284724748
76,y,n,g,4.682000474
78,n,y,g,-0.625670677
69.5,n,n,g,0.121517191
69.5,n,n,g,-0.121482809
67.5,y,n,g,0.384826517
68.5,n,n,g,0.666164294
67,n,n,g,0.423092756
63.5,y,n,g,0.614109641
80.5,y,y,g,-0.676559271
67.5,y,n,g,0.429826517
71,n,n,g,0.606068416
66,y,n,g,0.323604333
61,n,n,g,1.018396259
74.5,y,y,g,-1.463598807
60,y,n,g,-0.36478293
68,n,n,g,-0.007142378
61.5,n,n,g,1.070866236
67.5,y,n,g,0.634826517
57.5,n,n,g,-0.098449588
85,y,y,g,-0.619096029
57,n,n,g,1.276324035
75,y,n,g,-0.286694972
61,y,n,g,0.308396259
56,n,n,g,-0.113848934
77.5,n,y,g,2.194934638
61.5,n,n,g,-0.498133764
54,y,n,g,0.855528392
83.5,y,y,g,0.336180158
67.5,n,y,g,0.291826517
64,y,n,g,-0.184847086
60,n,y,g,-0.46478293
60.5,n,n,g,1.019505984
72.5,y,y,g,-0.109077728
52,n,n,g,0.102019357
65,n,y,g,0.68156641
53.5,n,y,g,-0.155975851
54,n,n,g,0.065528392
45.5,y,n,g,0.119460649
47.5,n,n,g,-0.273395218
88,y,y,g,-0.433911594
48.5,n,n,g,-0.332770467
49.5,y,n,g,0.423327774
88.5,y,y,g,-2.224523906
47.5,y,n,g,-0.596395218
46,n,n,g,0.074930053
44,y,n,g,0.123617958
45.5,n,y,g,-0.377539351
46,n,n,g,-0.293069947
43,n,n,g,-0.20375926
40.5,n,n,g,0.623852712
42.5,n,n,g,0.036571432
43.5,n,n,g,-0.102736652
79.5,y,n,h,-0.811543671
83.5,y,n,h,-1.250819842
82,n,y,h,-0.658172177
72,y,n,h,-0.555804032
70,n,y,h,0.139519824
81.5,y,y,h,-0.796659986
87.5,y,y,h,-1.80590071
78.5,y,n,h,4.819562455
83.5,y,n,h,-0.604819842
74.5,y,n,h,-0.436598807
67,n,n,h,-0.304907244
74.5,y,n,h,1.860401193
71.5,y,n,h,-0.537429264
74,n,y,h,-1.596510872
78.5,y,y,h,1.222562455
75,n,n,h,0.216305028
80,y,n,h,2.228073188
73.5,n,n,h,0.257590709
71,n,n,h,0.282068416
67,n,y,h,-0.645907244
70.5,y,n,h,-0.580289163
63.5,y,n,h,1.567109641
64.5,n,n,h,-0.262354257
70.5,y,n,h,0.989710837
67,y,y,h,1.334092756
74,y,n,h,1.358489128
76,y,n,h,1.060000474
69.5,y,n,h,0.063517191
66,y,n,h,0.072604333
61.5,y,n,h,0.903866236
57.5,n,y,h,0.855550412
62,n,y,h,-0.814105755
78,y,y,h,1.165329323
59.5,y,n,h,-0.875448832
75.5,n,n,h,1.189178751
66.5,y,n,h,-0.392321892
64.5,n,n,h,-1.216354257
72.5,y,n,h,-0.588077728
71,n,y,h,-0.703931584
65,n,n,h,0.08356641
63.5,y,n,h,0.883109641
69,y,n,h,-0.822275252
69,n,n,h,0.853724748
74.5,n,y,h,-0.728598807
58.5,n,n,h,-0.311825033
56.5,y,n,h,-0.218149609
68.5,n,y,h,-0.130835706
68.5,y,n,h,0.016164294
58.5,n,n,h,2.516174967
67.5,n,y,h,-1.920173483
69.5,y,y,h,-0.034482809
61,y,n,h,0.413396259
